object_type,table_name,tag_code,tag_name,tag_value_type,tag_level,calc_logic,source_table,refresh_cycle
trip,tdm_trip_profile,stat_date,统计日期,date,trip,从 source_file 的 trips_YYMMDD.jld2 解析业务日期,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,biz_start_time,业务开始时间,timestamp,trip,优先取 matched_start_time_utc，无匹配时取 gps_start_time_utc - 8 小时,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,biz_end_time,业务结束时间,timestamp,trip,优先取 matched_end_time_utc，无匹配时取 gps_end_time_utc - 8 小时,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,biz_start_hour,业务开始小时,integer,trip,extract(hour from biz_start_time),trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,biz_end_hour,业务结束小时,integer,trip,extract(hour from biz_end_time),trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,time_period_type,出行时段类型,string,trip,按 biz_start_hour 映射为 night、morning_peak、evening_peak、daytime、shoulder,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,trip_duration_min,行程时长分钟数,double,trip,(gps_end_ts - gps_start_ts) / 60.0,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,trip_distance_km,行程距离公里数,double,trip,同 trip 相邻 GPS 点按 haversine 计算并过滤异常 step 后求和,gps_points_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,avg_speed_kmh,平均速度,double,trip,trip_distance_km / (trip_duration_min / 60.0)，时长非正时为空,trips_clean.parquet;gps_points_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,unique_road_cnt,唯一路段数,integer,trip,valid matched segments 上 count(distinct road_id),matched_segments_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,road_repeat_ratio,路段重复比,double,trip,1 - unique_road_cnt / matched_segment_count，空匹配时记 0,matched_segments_clean.parquet;trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,forward_edge_cnt,正向边数量,integer,trip,valid route edges 中 route_heading = forward 的数量,route_edges_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,backward_edge_cnt,反向边数量,integer,trip,valid route edges 中 route_heading = backward 的数量,route_edges_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,forward_edge_ratio,正向边占比,double,trip,forward_edge_cnt / (forward_edge_cnt + backward_edge_cnt)，分母为 0 时为空,route_edges_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,night_trip_flag,夜间出行标记,boolean,trip,"biz_start_hour 属于 22,23,0-5",trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,morning_peak_trip_flag,早高峰出行标记,boolean,trip,"biz_start_hour 属于 7,8,9",trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,evening_peak_trip_flag,晚高峰出行标记,boolean,trip,"biz_start_hour 属于 17,18,19",trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,peak_trip_flag,高峰出行标记,boolean,trip,morning_peak_trip_flag 或 evening_peak_trip_flag,trips_clean.parquet,batch_once_for_homework
trip,tdm_trip_profile,trip_distance_level,行程距离分层,string,trip,按阈值 2.89、5.74、11.46 划分 short、medium、long、extra_long,tdm_trip_profile.parquet,batch_once_for_homework
trip,tdm_trip_profile,trip_duration_level,行程时长分层,string,trip,按阈值 9.15、16.22、31.30 划分 short、medium、long、extra_long,tdm_trip_profile.parquet,batch_once_for_homework
trip,tdm_trip_profile,trip_speed_level,行程速度分层,string,trip,按阈值 16.04、20.41、25.35 划分 slow、normal、fast、very_fast,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,trip_cnt,当日出行次数,integer,vehicle_day,设备在 stat_date 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,matched_trip_cnt,当日有匹配出行次数,integer,vehicle_day,设备在 stat_date 且 has_matched_segments = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,matched_trip_ratio,当日有匹配出行占比,double,vehicle_day,matched_trip_cnt / trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,total_distance_km,当日总里程,double,vehicle_day,当日 trip_distance_km 求和,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,total_duration_min,当日总时长分钟数,double,vehicle_day,当日 trip_duration_min 求和,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,avg_trip_distance_km,当日平均单次里程,double,vehicle_day,total_distance_km / trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,avg_trip_duration_min,当日平均单次时长,double,vehicle_day,total_duration_min / trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,avg_speed_kmh,当日综合平均速度,double,vehicle_day,total_distance_km / (total_duration_min / 60.0),tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,active_hour_cnt,当日活跃小时数,integer,vehicle_day,count(distinct biz_start_hour),tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,road_coverage_cnt,当日覆盖路段数,integer,vehicle_day,valid matched segments 上 count(distinct road_id),matched_segments_clean.parquet;tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,night_trip_cnt,当日夜间出行次数,integer,vehicle_day,night_trip_flag = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,night_trip_ratio,当日夜间出行占比,double,vehicle_day,night_trip_cnt / trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,morning_peak_trip_cnt,当日早高峰出行次数,integer,vehicle_day,morning_peak_trip_flag = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,evening_peak_trip_cnt,当日晚高峰出行次数,integer,vehicle_day,evening_peak_trip_flag = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,peak_trip_cnt,当日高峰出行次数,integer,vehicle_day,peak_trip_flag = true 的 trip 数,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,peak_trip_ratio,当日高峰出行占比,double,vehicle_day,peak_trip_cnt / trip_cnt,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,dominant_time_period,当日主导时段,string,vehicle_day,trip 数最多的 time_period_type，并按字典序做并列打破,tdm_trip_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,trip_frequency_level,当日出行频次分层,string,vehicle_day,按阈值 14、20、28 划分 low、medium、high、very_high,tdm_vehicle_day_profile.parquet,batch_once_for_homework
vehicle_day,tdm_vehicle_day_profile,night_activity_flag,夜间活跃标记,boolean,vehicle_day,night_trip_ratio >= 0.22,tdm_vehicle_day_profile.parquet,batch_once_for_homework
